Date,AAPL,AMZN,BRK-B,GOOG,LLY,META,MSFT,NVDA,TSM
2015-01-02,-0.5149993896484375,-0.20300006866455256,-2.3300018310546875,-0.2094249725341797,0.29000091552734375,-0.1300048828125,0.09999847412109375,0.0,-0.1700000762939453
2015-01-05,-0.5100002288818395,-0.24100017547607422,-1.80999755859375,-0.4682140350341797,-0.3600006103515625,-0.7900009155273438,-0.039997100830078125,-0.008500009775161743,-0.399999618530277
2015-01-06,-0.0699996948242223,-0.3475008010864258,-0.8000030517578125,-0.6502151489257812,-0.1999969482421875,-1.0800018310546875,-0.7299995422363281,-0.015749990940093994,0.0400009155273402
2015-01-07,0.13750076293945312,0.04599952697754084,0.94000244140625,-0.2941913604736328,-0.7999954223632812,-0.6100006103515625,0.25,-0.0047499835491180975,0.07999992370605469
2015-01-08,0.6649990081787109,0.006999969482421875,0.769989013671875,0.2338581085205078,0.8700027465820312,1.44000244140625,0.8400001525878906,0.0124999880790711,0.11999893188476562
2015-01-09,-0.16499900817871094,-0.22749996185302912,-2.17999267578125,-0.42832374572753196,-0.09999847412109375,-0.45999908447265625,-0.42000198364258523,0.0002499818801880438,-0.4200000762939453
2015-01-12,-0.837499618530277,-0.30749988555908203,-1.6800079345703125,-0.11917304992675426,-0.8000030517578125,-1.1199951171875,-0.8199996948242259,-0.007499992847442627,-0.26999855041503906
2015-01-13,-0.30249977111816406,-0.13699913024902344,-1.3199920654296875,-0.13263511657714133,-0.69000244140625,-0.7800064086914062,-0.6100006103515625,-0.004500001668930109,0.029998779296875
2015-01-14,0.19000053405761363,0.06699943542480469,0.5500030517578125,0.3101482391357422,0.9900054931640625,-0.1399993896484375,0.0,0.0072499811649323065,0.4099998474121058
2015-01-15,-0.7950000762939489,-0.35249996185302734,-0.9499969482421875,-0.18848228454589844,-0.7000045776367188,-2.3499984741210938,-0.7400016784667969,-0.006999999284744318,0.2999992370605504
2015-01-16,-0.26000022888183594,0.2229995727539027,2.010009765625,0.4023952484130824,1.0900039672851562,1.1399993896484375,0.9300003051757812,0.009750008583068792,0.22999954223632812
2015-01-20,0.220001220703125,-0.15750026702880682,-1.649993896484375,-0.20443916320801137,1.1599960327148438,0.5199966430664062,0.09000015258789062,-0.001999974250793457,0.48999977111816406
2015-01-21,0.15000152587890625,0.38049983978271484,-1.160003662109375,0.5380229949951136,0.6199951171875,0.5799942016601562,-0.02000045776366477,0.009749978780746515,0.20999908447265625
2015-01-22,0.5349998474121094,0.5159997940063477,2.1399993896484375,0.6437320709228516,-0.23000335693359375,0.48000335693359375,0.75,0.007750034332275391,0.5099983215332031
2015-01-23,0.1700000762939453,0.21549987792968572,-0.8700103759765625,0.217401504516598,-0.3300018310546875,0.18000030517578125,-0.18000030517578125,0.001000046730041504,0.05999946594238281
2015-01-26,-0.15999984741210582,-0.10799980163574219,0.5099945068359375,-0.16554641723632812,0.25,-0.48000335693359375,0.009998321533203125,0.0,0.20999908447265625
2015-01-27,-0.8199996948242188,0.02250003814697088,-0.600006103515625,-0.5654468536376918,-0.029998779296875,-0.9300003051757812,-0.29000091552734375,-0.016749978065490723,0.060001373291015625
2015-01-28,-0.5799999237060476,-0.29500007629394354,-3.5800018310546875,-0.6372509002685547,-1.1399993896484375,-0.660003662109375,-1.5500030517578196,-0.01399999856948847,-0.5100002288818359
2015-01-29,0.6450004577636754,0.3524999618530291,0.8899993896484375,-0.016954421997073865,1.1399993896484375,1.1500015258789062,1.0799980163574219,0.011500000953674316,-0.39999961853027344
2015-01-30,-0.3099994659423828,0.41049957275390625,-1.660003662109375,0.9304447174072301,-1.0199966430664062,-2.089996337890625,-1.1499977111816406,-0.011000007390976008,-0.2800006866455078
2015-02-02,0.1449985504150355,0.7209987640380859,2.5999908447265625,-0.16205406188964488,-0.18000030517578125,-1.1200027465820312,0.6899986267089915,0.0074999928474425714,-0.09000015258789062
2015-02-03,0.03750038146972656,0.16300010681152344,0.5399932861328125,0.061830520629886365,-0.6999969482421875,0.20999908447265625,-0.03000259399414773,0.008749991655349787,-0.19000053405761363
2015-02-04,0.26499938964844105,0.3184986114501953,-0.7299957275390625,-0.3231124877929723,-0.01000213623046875,0.5400009155273438,-0.09999847412108664,0.0027499794960021973,-0.01000022888183949
2015-02-05,-0.019998550415042615,0.39450073242187855,1.779998779296875,0.1889801025390625,0.7100067138671875,-0.09999847412109375,0.22999954223632812,0.007750034332275391,-0.05999946594237926
2015-02-06,-0.27249908447265625,-0.029499053955074572,0.3799896240234375,0.16753959655762074,-0.8000030517578125,-1.2099990844726562,-0.2700004577636719,-0.0017499923706054688,-0.35000038146972656
2015-02-09,0.2924995422363281,-0.021999359130859375,-0.779998779296875,-0.008476257324215197,-0.3899993896484375,0.3899993896484375,0.11999893188476562,0.002499997615814209,-0.25
2015-02-10,0.46249961853027344,0.0904998779296946,0.2599945068359375,0.3809547424316406,0.3899993896484375,0.34000396728515625,-0.14000320434571023,0.013750016689300537,-0.03999900817871804
2015-02-11,0.5275001525878871,0.19549942016601918,-0.160003662109375,0.0334091186523402,-0.0500030517578125,1.4200057983398438,-0.2700004577636719,-0.004749953746795654,0.4100017547607422
2015-02-12,0.10000038146972301,0.1035003662109375,-0.2100067138671875,0.2832202911376953,0.339996337890625,-0.6299972534179688,0.43000030517578125,0.007499992847442627,0.05999946594237926
2015-02-13,-0.049999237060546875,0.1709995269775355,-1.260009765625,0.2822246551513743,-0.1300048828125,-0.720001220703125,0.48999786376953125,0.0015000104904174805,0.3899993896484375
2015-02-17,0.08500099182128906,-0.11450004577636719,0.80999755859375,-0.19895362854003906,1.149993896484375,0.29999542236328125,-0.3899993896484375,0.0027499794960021973,0.07999992370605469
2015-02-18,0.2725009918212926,-0.020498275756835938,-0.1100006103515625,-0.08476829528808594,-0.40000152587890625,0.7699966430664062,-0.10000228881835227,-0.005750000476837158,0.019998550415039062
2015-02-19,-0.00749969482421875,0.2755012512207031,-0.730010986328125,0.24083900451660512,0.29000091552734375,2.4300003051757812,0.31999969482421875,-0.00550001859664917,-0.15999984741210938
2015-02-20,0.220001220703125,0.25200080871582387,1.4499969482421875,-0.20842742919921875,0.9099960327148438,0.34999847412109375,0.3500022888183594,0.004499971866607666,-0.26000022888183594
2015-02-23,0.7449989318847656,-0.16500091552734375,-0.8300018310546875,-0.20643234252929688,-0.720001220703125,-1.1200027465820312,0.4500007629394531,-0.004249989986419678,-0.19000053405762074
2015-02-24,-0.19250106811523438,-0.0030002593994140625,1.4499969482421875,0.3036670684814453,-0.09999847412109375,-0.0500030517578125,-0.060001373291015625,0.0037499666213989258,0.6600017547607422
2015-02-25,-0.6925010681152344,0.404998779296875,-0.6100006103515625,0.39740943908691406,-0.5100021362304688,1.05999755859375,0.04000091552734375,-0.001999974250793457,-0.009998321533203125
2015-02-26,0.407501220703125,0.0364990234375,-0.2100067138671875,0.6118183135986364,-0.1399993896484375,0.5300064086914062,0.06999969482421875,0.0009999871253967285,-0.11999893188476562
2015-02-27,-0.3849983215332031,-0.1920013427734375,-0.80999755859375,0.2074298858642578,0.220001220703125,-1.7099990844726562,-0.28000259399414773,-0.001999974250793457,-0.2199993133544922
2015-03-02,-0.04000091552734375,0.2405014038085902,-0.6300048828125,0.5390205383300781,0.9500045776367188,0.75,0.21000289916992188,0.014999985694885254,0.22999954223632457
2015-03-03,0.09999847412109375,0.03299903869628551,-0.8600006103515625,0.15906333923339844,-0.75,-0.01000213623046875,-0.2800025939941335,-0.00625002384185791,-0.20999908447265625
2015-03-04,-0.14000320434570312,-0.149499893188473,-0.279998779296875,0.07479476928710938,0.6399993896484375,1.5999984741210938,0.0500030517578125,0.008249998092651367,-0.23999977111816762
